word,length,freq
arrischiare,11,1
arrischiarsi,12,1
arriva,6,1
arrivasse,9,1
arrivava,8,1
arrolati,8,1
arrossendo,10,1
arrovesciate,12,1
arte,4,1
artigianello,12,1
artigiani,9,1
artigli,7,1
artista,7,1
ascoltava,9,1
asili,5,1
aspettando,10,2
aspettar,8,1
aspettare,9,3
aspettarsi,10,1
aspettato,9,1
aspettava,9,1
aspetti,7,1
aspetto,7,3
assai,5,2
assalito,8,1
assalti,7,1
assaporato,10,1
assicura,8,1
assicurarci,11,2
assicurare,10,1
assicurarsene,13,1
assoggettavano,14,1
assolutamente,13,1
assorbito,9,1
astioso,7,1
astratto,8,1
astuti,6,1
astuzia,7,1
attaccar,8,1
attaccata,9,1
attaccate,9,1
attaccato,9,1
attentamente,12,1
attenzione,10,1
attesoché,9,1
attesta,7,1
attestare,9,1
atti,4,2
attillata,9,1
attioni,7,1
attirati,8,1
attività,8,1
atto,4,5
attonito,8,1
attraversatolo,14,1
aumentabili,11,1
aureola,7,1
autentici,9,1
autografo,9,1
autore,6,3
autorevole,10,1
autori,6,1
autorità,8,3
auuenuto,8,1
avanti,6,2
avanzo,6,1
avendo,6,1
avendolo,8,1
aver,4,17
avere,5,2
averla,6,1
averle,6,1
averne,6,1
avesse,6,9
avesser,7,1
avessi,6,2
aveste,6,1
avete,5,5
aveva,5,31
avevam,6,1
avevan,6,1
avevano,7,4
avevo,5,1
avola,5,1
avrebbe,7,10
avrebber,8,2
avrei,5,2
avrem,5,1
avrà,4,1
avrò,4,3
avuta,5,1
avuto,5,3
avvede,6,1
avvedersene,11,1
avvedesse,9,1
avveduto,8,1
avvenimento,11,1
avvenire,8,2
avvenuto,8,1
avvertito,9,1
avvezza,7,1
avvezzi,7,1
avviandosi,10,1
avviavano,9,1
avvicinavano,12,1
avvide,6,1
avvisa,6,1
avviso,6,1
avviò,5,2
azione,6,1
bacco,5,1
bada,4,1
badare,6,1
badate,6,1
badi,4,1
bagattella,10,1
baggianate,10,1
balbettò,8,1
balordo,7,1
balze,5,1
balzò,5,1
banco,5,1
bando,5,2
bassa,5,1
basso,5,3
basta,5,7
bastante,8,1
bastantemente,13,2
bastar,6,1
bastati,7,1
basti,5,1
battaglia,9,2
battendo,8,1
battere,7,1
batteva,7,1
battuto,7,1
bei,3,2
bel,3,4
bella,5,6
bellezza,8,2
bellici,7,1
bello,5,2
ben,3,16
benché,6,1
bene,4,13
benedett,8,1
benissimo,9,3
bensì,5,1
bestemmia,9,2
bestia,6,1
bettina,7,2
bianca,6,1
bianco,6,1
bicchiere,9,3
bieche,6,1
bigiognolo,10,1
birbone,7,1
birboni,7,2
biron,5,1
birri,5,1
bisogna,7,3
bisognati,9,1
bisognerebbe,12,1
bisogno,7,1
bisognò,7,1
bocca,5,9
boccone,7,1
bocconi,7,1
bonario,7,1
bontà,5,2
borgo,5,2
boschi,6,1
bottoni,7,1
braccia,7,2
braccio,7,4
braccj,6,1
brava,5,1
braverìa,8,1
bravi,5,22
bravo,5,6
brevemente,10,1
breviario,9,3
briareo,7,1
brillanti,9,1
brivido,7,1
broccato,8,1
brontolando,11,3
brontolìo,9,1
bruciore,8,1
brutale,7,1
brutti,6,1
brutto,6,2
bucato,6,1
buon,4,11
buona,5,5
buone,5,2
buontà,6,1
burberi,7,1
burgeto,7,1
burrasche,9,1
bussasse,8,1
busto,5,2
buttando,8,1
buttar,6,1
c,1,13
cabale,6,1
cacciò,6,1
cadaueri,8,1
cadere,6,1
cadeva,6,1
cagion,6,1
cagione,7,3
calante,7,1
calar,5,1
calze,5,1
calzoni,7,2
cambiando,9,1
camera,6,1
camerali,8,1
cameriero,9,1
cammina,7,1
camminando,10,1
camminasse,10,1
camminava,9,2
cammino,7,2
campagne,8,1
campeggia,9,1
campi,5,2
campioni,8,1
campo,5,1
cane,4,2
cani,4,2
cantando,8,1
canto,5,1
cantonate,9,1
canzonaccia,11,1
cap,3,2
capelli,7,1
capi,4,1
capire,6,1
capitan,7,1
capitano,8,1
capitorno,9,1
capo,4,7
capovolti,9,1
cappello,8,2
capricciose,11,1
caramente,9,1
carattere,9,2
caratteri,9,1
carestia,8,1
carico,6,2
carità,6,1
carlo,5,1
caro,4,5
carta,5,1
casa,4,10
casali,6,1
casato,6,1
cascante,8,1
casetta,7,1
caso,4,5
castello,8,1
castelnovo,10,1
castelvetrano,13,1
castiglia,9,1
catene,6,1
cattolica,9,1
cattolico,9,1
causale,7,1
cavadenti,9,1
cavalcioni,10,2
cavaliere,9,2
cavarmi,7,1
cavarne,7,1
cavarsi,7,1
cavereste,9,1
cavolo,6,1
cedere,6,1
celibe,6,1
cena,4,1
cencio,6,1
censore,7,1
censura,7,1
cento,5,2
cerca,5,1
cercando,8,2
cercar,6,1
cercare,7,1
cercavano,9,1
cercherò,8,2
cerchi,6,1
cert,4,3
certamente,10,4
certe,5,2
certi,5,2
certo,5,5
cessa,5,1
ceto,4,1
ch,2,29
che,3,331
chetamente,10,1
chi,3,21
chiacchiere,11,1
chiama,6,1
chiamano,8,1
chiamar,7,1
chiamava,8,3
chiamò,6,1
chiarirci,9,1
chiaro,6,5
chiave,6,5
chiesa,6,1
chinandola,10,1
chino,5,1
chiudendo,9,1
chiuder,7,1
chiudere,8,1
chiudeva,8,1
chiunque,8,1
chiuse,6,1
chiuso,6,1
ci,2,31
ciarlato,8,1
ciarle,6,1
cielo,5,11
cifra,5,1
cime,4,1
cinto,5,1
cintura,7,1
ciottoli,8,1
ciottoloni,10,1
cioè,4,5
circostante,11,1
circostanze,11,1
citeremo,8,1
città,5,8
ciuffo,6,1
civile,6,1
ciò,3,13
classe,6,2
classi,6,3
clemenza,8,1
clero,5,2
clientela,9,1
climi,5,1
co,2,3
cocuzzoli,9,1
coda,4,1
codeste,7,1
codesti,7,1
coglie,6,1
cognatio,8,1
coi,3,1
col,3,13
coll,4,1
collana,7,1
collare,7,1
collegati,9,1
collera,7,2
collo,5,3
colloquio,9,2
color,5,1
colore,6,1
colori,6,1
coloro,6,5
colpa,5,4
colpi,5,1
coltellaccio,12,1
coltellate,10,1
coltello,8,1
colui,5,5
com,3,7
comanda,7,1
comandante,10,1
comandare,9,1
comando,7,2
comari,6,1
come,4,66
cominci,7,1
cominciando,11,1
cominciasse,11,1
cominciava,10,1
cominciò,8,2
commettere,10,1
commettono,10,1
comminazioni,12,1
commission,10,1
commossa,8,1
commovere,9,1
como,4,1
comoda,6,1
compagni,8,1
compagnia,9,2
compagno,8,2
compagnone,10,1
comparendo,10,1
comparve,8,1
compatisco,10,1
compiacenza,11,1
complimento,11,1
compose,7,1
composte,8,1
comprarsi,9,1
comprendere,11,1
compresi,8,1
comprimere,10,1
comune,6,3
comunemente,11,1
comunicarle,11,1
con,3,115
concepita,9,1
concertato,10,1
concettini,10,1
conchiude,9,1
conchiudere,11,1
condanna,8,1
conditio,8,1
condizione,10,3
condoglianze,12,1
conduceva,9,1
condurre,8,1
condé,5,1
confermandosi,13,1
confermò,8,1
confessi,8,1
confetti,8,1
confidare,9,1
confidati,9,1
confidenza,10,2
confine,7,1
confluente,10,1
conformarci,11,1
confratelli,11,1
confraternite,13,1
confusione,10,1
confuso,7,1
congegnate,10,1
congiunge,9,1
congiurare,10,1
connivenza,10,1
conoscer,8,1
conoscere,9,1
conoscerlo,10,1
conosceva,9,2
conosciuti,10,2
conosciuto,10,1
conservarsi,11,1
considerabile,13,1
considerando,12,1
consigliere,11,1
consimili,9,1
consisteva,10,1
consolante,10,1
consolazione,12,1
consonanti,10,1
consterà,8,1
consuetudine,12,1
consulte,8,1
contadine,9,2
contadini,9,3
contando,8,1
contanti,8,1
conte,5,3
contemplate,11,1
contendenti,11,1
contento,8,2
contese,7,1
contestabile,12,2
conti,5,2
contigui,8,1
contingenti,11,1
continua,8,2
continuamente,13,1
continuando,11,1
continuare,10,1
continuava,10,1
continuo,8,3
continuò,8,2
conto,5,2
contornandosi,13,1
contra,6,1
contraddirgli,13,1
contrae,7,1
contrapposto,12,1
contrario,9,1
contrassegno,12,1
contrastar,10,1
contrasti,9,1
contravvenire,13,1
contro,6,15
convenisse,10,1
convento,8,1
conversazione,13,1
convien,7,1
cooperatore,11,1
copia,5,1
coraggioso,10,1
corda,5,3
cordova,7,1
corno,5,1
corpo,5,3
corporazione,12,1
correre,7,1
corretta,8,1
correva,7,2
correvano,9,1
corrispondendo,14,1
corro,5,1
corrono,7,1
corse,5,3
corso,5,2
corta,5,1
corteggio,9,1
cortile,7,3
cos,3,3
cosa,4,34
coscienza,9,1
cose,4,11
costa,5,2
costato,7,1
costei,6,1
costiera,8,2
costoro,7,4
costretta,9,1
costretto,9,4
costringendo,12,1
costui,6,2
costume,7,1
costumi,7,1
così,4,45
cotta,5,1
credere,7,4
crediamo,8,1
creditore,9,1
crescendo,9,1
crescente,9,1
crimen,6,1
critica,7,1
critiche,8,2
critico,7,1
crocchio,8,2
cui,3,13
cultus,6,1
cuoio,5,1
cuor,4,3
cuore,5,3
cura,4,2
curati,6,1
curato,6,14
curava,6,1
curiosità,9,1
curvo,5,1
d,1,77
da,2,66
dagl,4,1
dagli,5,2
dai,3,3
dal,3,18
dall,4,8
dalla,5,9
dalle,5,5
dallo,5,1
dandogli,8,1
danno,5,2
dar,3,3
dare,4,3
darebbe,7,1
dargli,6,2
darla,5,1
darle,5,2
darlo,5,1
darmi,5,1
darne,5,1
darà,4,1
data,4,2
date,4,4
datemi,6,2
dato,4,2
davano,6,1
davanti,7,4
davo,4,1
davvero,7,2
de,2,33
debole,6,1
debolezza,9,1
deboli,6,1
debolmente,10,1
decadenza,9,1
decembre,8,2
decidersi,9,1
decifrare,9,2
decise,6,1
decisivo,8,1
declamava,9,1
declamazioni,12,1
dedicava,8,1
deffinire,9,1
defformità,10,1
degl,4,2
degli,5,9
degni,5,1
degnino,7,1
degradando,10,1
dei,3,4
del,3,80
deliberazione,13,2
delitti,7,3
delitto,7,4
dell,4,25
della,5,40
delle,5,20
delli,5,1
dello,5,3
delusione,9,1
denti,5,1
dentro,6,3
denunciet,9,1
deposito,8,1
deputati,8,1
descritti,9,2
descriuendo,11,1
descrivere,10,1
desiderava,10,1
destino,7,1
destra,6,5
destrezza,9,1
determinata,11,1
determinato,11,1
detta,5,2
dette,5,1
detti,5,2
detto,5,14
deve,4,1
devo,4,1
di,2,349
dia,3,1
diabolica,9,1
diaboliche,10,1
diavoleria,10,1
dica,4,3
dice,4,2
dicendo,7,7
dicesse,7,1
diceva,6,4
dicevan,7,2
dicevo,6,1
dichiara,8,1
dicitura,8,3
dico,4,10
dicono,6,1
diede,5,3
dietro,6,5
difendere,9,1
difenderlo,10,1
difesa,6,3
difese,6,1
difesi,6,1
difficile,9,1
difficilmente,13,1
difficoltà,10,1
diffinisce,10,1
diggiuna,8,1
dignità,7,1
dilavato,8,1
diligentemente,14,1
dille,5,2
diluviavano,11,1
dinanzi,7,6
dio,3,7
dipende,7,1
dipendesse,10,1
dipendevano,11,1
dipinger,8,1
dipingeva,9,1
dipingevan,10,1
dipinte,7,1
dipresso,8,1
dir,3,11
diradar,7,1
dire,4,12
direi,5,1
dirette,7,1
dirimenti,9,1
dirimpetto,10,1
diritta,7,1
diritto,7,1
dirizzando,10,1
dirizzatura,11,1
dirlo,5,1
dirmi,5,1
dirsi,5,1
dirà,4,1
disarmata,9,1
discerna,8,1
discesa,7,1
discorrere,10,1
discorsi,8,3
discorso,8,1
discosto,8,1
discreta,8,1
discrezione,11,1
disegni,7,1
disegno,7,1
disgustati,10,1
disparitas,10,1
disparte,8,1
disparve,8,1
dispensa,8,1
disperata,9,1
dispetto,8,1
dispiace,8,1
dispiacere,10,3
dispiacque,10,1
disponendosi,12,1
disporle,8,1
disposizioni,12,1
disposto,8,2
disse,5,26
dissimulando,12,1
dissipò,7,1
distante,8,1
distendersi,11,1
distesa,7,2
distinguer,10,1
distinte,8,1
distrutta,9,1
disubbidire,11,1
disuguali,9,1
dita,4,3
dite,4,1
ditemi,6,2
dito,4,1
divenivan,9,1
divenne,7,1
diventar,8,1
divenuto,8,2
diversi,7,1
diverso,7,1
diviato,7,1
divideva,8,1
dividevano,10,1
dividon,7,1
divorato,8,1
dobbiam,7,2
dolce,5,1
dolorosamente,13,1
doloroso,8,1
domandar,8,1
domandarmi,10,1
domandò,7,2
domani,6,3
domestico,9,1
dominato,8,1
don,3,60
dond,4,1
donde,5,1
donna,5,1
donne,5,3
dopo,4,9
dormì,5,1
dose,4,1
dotato,6,1
doue,4,1
dourebbe,8,1
dov,3,1
dove,4,13
dover,5,2
dovere,6,3
doversi,7,1
dovesse,7,4
dovessero,9,1
dovette,7,1
doveva,6,5
dovevan,7,1
dovizioso,9,1
dovuto,6,2
dozzinale,9,1
dubbi,5,1
dubbio,6,2
dubitare,8,1
dubitativa,10,1
duca,4,5
due,3,37
dunque,6,8
duque,5,1
dura,4,1
durar,5,1
durata,6,1
duri,4,1
dà,2,4
dànno,5,1
dì,2,1
e,1,465
ebbene,6,1
eccellentissimo,15,7
eccellenza,10,2
eccitar,7,1
ecco,4,4
ed,2,12
educazione,10,1
effetto,7,5
egli,4,10
eh,2,8
ehm,3,3
el,2,1
eleganza,8,1
elevate,7,1
ella,4,2
emigrazione,11,1
emolumenti,10,1
empiendo,8,1
energia,7,1
enorme,6,1
enrico,6,1
enriquez,8,1
entra,5,1
entrambi,8,1
entrare,7,1
entrarono,9,1
entrava,7,1
entravan,8,1
entro,5,2
entrò,5,5
enumerati,9,1
era,3,62
eran,4,13
erano,5,4
eravamo,7,1
ereditaria,10,1
eroi,4,1
eroica,6,1
erranti,7,1
error,5,1
erta,4,2
erte,4,1
esacerbato,10,1
esame,5,2
esaminandole,12,1
esca,4,1
esce,4,1
esclamò,7,3
esecrata,8,1
esecutori,9,2
esecuzione,10,2
eseguire,8,2
eseguite,8,1
esempio,7,1
esenzioni,9,1
esercitar,9,1
esercitare,10,1
esercitarsi,11,1
esercitava,10,2
esercizio,9,1
esistiti,8,1
esorbitanti,11,1
esperienza,10,1
esperti,7,1
espone,6,1
esposta,7,1
espressamente,13,1
espressiva,10,1
essa,4,5
esse,4,3
essendo,7,4
essendosi,9,1
esser,5,9
essere,6,12
essergli,8,1
essi,4,8
esso,4,3
estate,6,1
estendere,9,1
esterminio,10,1
estesi,6,1
estirpare,9,1
estirparlo,10,1
estremità,9,1
estremo,7,1
et,2,7
etc,3,5
eternità,8,1
età,3,1
evidente,8,2
evidenza,8,1
fa,2,4
faccende,8,1
faccia,6,7
facendo,7,1
facendosi,9,1
facesse,7,1
facessi,7,1
faceste,7,1
faceva,6,5
facevam,7,1
facevan,7,2
facevano,8,1
facili,6,1
facilitar,9,1
facilitato,10,1
facinorosi,10,1
facoltà,7,1
falde,5,2
fallato,7,4
falso,5,1
fama,4,1
fame,4,1
famiglia,8,2
famigliare,10,1
fanciulle,9,1
fanciulletta,12,2
fandonie,8,1
fanno,5,6
fantasie,8,1
fantasticaggini,15,1
fantasticare,12,1
fantastico,10,1
far,3,18
fare,4,21
fargli,6,4
farla,5,2
farle,5,1
farlo,5,1
farmi,5,1
farsi,5,4
farà,4,4
farò,4,2
fastidiosi,10,1
fate,4,5
fatemi,6,1
fatica,6,3
fatiche,7,1
fatta,5,5
fatte,5,3
fatti,5,9
fatto,5,13
fattura,7,1
fautori,7,1
favore,6,1
febbraio,8,1
febbre,6,2
fece,4,11
fecero,6,1
fede,4,2
fedel,5,1
fedele,6,1
feria,5,2
ferite,6,1
ferma,5,1
fermarsi,8,2
fermato,7,1
fermo,5,2
fermò,5,2
fernandez,9,2
feroce,6,2
ferro,5,1
fessi,5,1
festa,5,1
fiamme,6,3
fianchi,7,1
fiaschetto,10,1
fiaterebbe,10,1
fidata,6,1
fiele,5,1
figlia,6,1
figliuol,8,3
figliuolo,9,1
figueroa,8,1
figura,6,1
figuracce,9,1
figurava,8,2
figure,6,3
fila,4,1
filaticcio,10,1
filatoio,8,1
filatore,8,1
fili,4,1
filigrana,9,1
filosofia,9,2
fin,3,5
finalmente,10,4
fine,4,4
finestra,8,1
fini,4,1
finir,5,1
finissimo,9,1
finito,6,1
finivano,8,1
fino,4,5
fioca,5,1
fiori,5,1
fissato,7,2
fissava,7,1
fisse,5,1
fisso,5,2
fitte,5,1
fiume,5,3
floridissima,12,1
floscio,7,1
fo,2,1
foci,4,1
foggia,6,1
folla,5,1
fondato,7,1
fondo,5,4
forbite,7,1
forestiera,10,1
forestieri,10,1
forma,5,1
formalità,9,2
formano,7,1
formare,7,1
formarne,8,1
formata,7,1
formato,7,1
formavano,9,1
forse,5,5
forte,5,4
fortezza,8,1
forti,5,2
forza,5,11
forzati,7,1
forzato,7,1
forze,5,2
fosse,5,10
fossero,7,2
fra,3,1
fracasso,8,1
frangenti,9,1
frasi,5,1
frazione,8,1
fredda,6,1
frequenti,9,1
frequentissime,14,1
fretta,6,8
frias,5,1
fronte,6,4
frugar,6,1
fu,2,13
fuentes,7,1
fuggire,7,1
fuggitivo,9,1
fughe,5,1
fuor,4,2
fuorché,7,1
fuori,5,9
furia,5,3
furie,5,1
furore,6,1
gagliarde,9,1
gala,4,1
galantuomini,12,2
galantuomo,10,4
galea,5,1
galera,6,1
gamba,5,3
gambe,5,2
gelosia,7,1
generale,8,1
generaliter,11,1
generalmente,12,1
genere,6,3
gente,5,3
gentile,7,1
gentiluomo,10,2
genuinamente,12,1
germogliare,11,1
gettar,6,1
gettata,7,1
gettate,7,1
ghiaia,6,1
giacché,7,3
giace,5,1
giamai,6,1
gioco,5,1
giogaia,7,1
gioghi,6,1
giogo,5,1
gioia,5,2
giornata,8,1
giorni,6,9
giorno,6,22
giovane,7,1
giovanetto,10,1
giovanili,9,1
giovanni,8,1
gioviale,8,1
gioviali,8,1
giovine,7,5
giovinotto,10,1
girando,7,1
girati,6,1
girava,6,1
girò,4,1
giudice,7,1
giudici,7,1
giudizio,8,3
giugno,6,1
giunse,6,1
giunto,6,3
giuramento,10,1
giurare,7,1
giurate,7,3
giurato,7,1
giurisperiti,12,1
giusti,6,2
giustificarne,13,1
giustizia,9,2
giusto,6,1
già,3,13
giù,3,1
gl,2,7
gli,3,54
glielo,6,1
gloriose,8,1
gocciolo,8,1
goffaggine,10,1
golfi,5,2
gomez,5,1
gomita,6,1
gomito,6,1
gonfi,5,1
gongola,7,1
gonnella,8,1
gonzalo,7,1
governatore,11,6
governo,7,3
gradevolmente,13,1
grado,5,2
graffiato,9,1
grammatica,10,1
gran,4,23
granati,7,1
grand,5,1
grande,6,1
grandine,8,1
grandiosa,9,1
grida,5,6
gridando,8,1
gridare,7,1
gride,5,7
gridò,5,1
grigi,5,1
grilli,6,1
grillo,6,1
grosse,6,1
grossi,6,1
gruppo,6,1
guadagnar,9,1
guai,4,1
guardando,9,2
guardandolo,11,2
guardano,8,1
guardarsi,9,1
guardata,8,1
guardati,8,2
guardava,8,1
guardi,6,1
guardia,7,1
guarnigione,11,1
guarnita,8,1
guerra,6,1
guerre,6,1
guerriera,9,1
guisa,5,1
gusto,5,1
ha,2,23
hanno,5,1
haro,4,1
hauendo,7,1
hauuto,6,1
heroe,5,1
heroi,5,1
historia,8,1
ho,2,17
honestas,8,1
horrori,7,1
humana,6,1
huomini,7,2
hynojosa,8,1
i,1,64
idea,4,1
idee,4,1
idiotismi,9,1
ignorante,9,1
ih,2,1
ii,2,1
il,2,181
ilarità,7,1
illumina,8,1
illustre,8,1
illustri,8,1
illustrissimo,13,9
imbalsamando,12,1
imbasciata,10,1
imbrogli,8,3
imitazione,10,1
immaginare,10,1
immaginazione,13,1
immaginò,8,1
immediata,9,1
immediato,9,1
immobile,8,1
immunità,8,1
impastocchiate,14,1
impaziente,10,3
impazienza,10,1
impedimenti,11,4
impedimento,11,2
impegnasse,10,1
imperciocché,12,1
imperfettione,13,1
impicci,7,3
impicciata,10,1
impiccio,8,2
impiegar,8,1
impiegare,9,1
impiegato,9,1
imponeva,8,1
importanza,10,1
impotenza,9,1
impresa,7,1
imprese,7,2
impressione,11,1
improperio,10,1
imprudente,10,1
impugnati,9,1
impunità,8,3
in,2,181
inazione,8,1
incalzanti,10,1
incammina,9,1
incantato,9,1
incapaci,8,1
incaricati,10,1
incarico,8,1
inceppare,9,1
incertezza,10,2
incerto,7,1
inchini,7,1
inchino,7,2
inchiostri,10,1
inciampo,8,1
inclinazione,12,1
incontrarsi,11,1
incontrato,10,1
incontrava,10,1
incontri,8,1
incontro,8,6
incrociate,10,1
indagine,8,1
indefinite,10,1
indicando,9,1
indice,6,2
indietro,8,7
indiscrezione,13,1
individui,9,2
individuo,9,2
indizj,6,1
indomani,8,1
indovinare,10,1
infame,6,1
infanti,7,1
inferiore,9,1
inferiori,9,1
inferno,7,1
informarlo,10,1
informata,9,1
informativo,11,1
informato,9,4
infuriati,9,1
ingegno,7,1
ingenuità,9,1
inghiottiti,11,1
ingrossa,8,1
iniqua,6,1
iniquità,8,1
iniquo,6,1
innamorano,10,1
innamorato,10,1
innanzi,7,2
inoffensivo,11,1
inquieto,8,1
insegnavan,10,1
inseguimenti,12,1
inseguitemi,11,1
insidia,7,1
insidie,7,1
insieme,7,11
insomma,7,1
insultata,9,1
insulto,7,1
intanto,7,5
intende,7,1
intendere,9,2
intenderà,9,1
intenzion,9,1
intenzione,10,4
interessati,11,1
interessato,11,1
interesse,9,3
intermezi,9,1
internandosi,12,1
interni,7,1
interrogare,11,1
interrompere,12,1
interrotte,10,1
interrotto,10,1
interruppe,10,4
intese,6,1
intima,6,2
intimazione,11,1
intollerabile,13,2
intorno,7,9
intraprendenti,14,1
intraprendere,13,1
introduzione,12,1
intromette,10,1
inuguali,8,1
invano,6,2
invenzioni,10,1
involta,7,1
io,2,41
iosa,4,1
ipsilon,7,1
ira,3,1
iracondo,8,1
iscansarli,10,1
iscoprire,9,1
iscoprite,9,1
ispavento,9,1
ispegnerla,10,1
ispianate,9,1
ispiar,6,1
istantaneo,10,1
istante,7,1
istinto,7,1
italia,6,1
iv,2,1
ivi,3,3
juan,4,1
l,1,92
la,2,163
labirinti,9,1
lago,4,7
laiche,6,1
lamentazioni,12,1
lamenti,7,1
lamine,6,1
lampante,8,1
lampo,5,1
lanciarsi,9,1
lanciava,8,1
lara,4,1
larga,5,1
larghe,6,1
lasceremo,9,1
lasci,5,2
lascian,7,1
lasciando,9,1
lasciandosi,11,1
lasciarne,9,1
lasciasse,9,1
lasciato,8,1
lasciavan,9,1
latino,6,2
latinorum,9,1
lavo,4,1
lavoranti,9,1
lavorare,8,1
lavorava,8,1
lavoro,6,4
le,2,107
lecco,5,1
lecito,6,1
lega,4,2
legale,6,2
legato,6,1
legge,5,2
leggerla,8,1
leggesse,8,1
leggi,5,2
leggiera,8,1
leggieri,8,1
leggiero,8,1
leggìo,6,1
leghe,5,1
legislatore,11,1
lei,3,19
lembo,5,1
lentamente,10,2
lento,5,2
leone,5,1
lettera,7,1
letteratura,11,1
letto,5,4
lettore,7,5
lettori,7,2
levar,5,1
levarnela,9,1
levata,6,1
leverebbe,9,1
li,2,8
libera,6,1
liberamente,11,1
liberare,8,1
liberi,6,2
libero,6,1
libri,5,1
libro,5,7
licenza,7,1
licenziar,9,1
lieta,5,2
ligamen,7,1
lingua,6,1
livrea,6,1
lo,2,34
locché,6,1
lombarda,8,1
lombardi,8,1
lombardia,9,1
lontano,7,1
